chnm	casn	dsstox_substance_id	ABCB1	ABCB11	ABCC2	ABCC3	ABCG2	ACLY	ACOX1	ADK	AFP	ALPP	APOA5	BAD	BAX	BCL2	BCL2L11	BID	CASP3	CASP8	CAT	CCND1	CDKN1A	CFLAR	CYP1A1	CYP1A2	CYP24A1	CYP2B6	CYP2C19	CYP2C8	CYP2C9	CYP2E1	CYP3A4	CYP3A5	CYP3A7	CYP4A11	CYP4A22	CYP7A1	DDIT3	EGF	EGR1	EZR	FABP1	FAS	FASN	FMO3	FOXO1	FOXO3	GADD45A	GADD45B	GADD45G	GCLC	GSTA2	GSTM3	HGF	HIF1A	HMGCS2	HSPA1A	ICAM1	IGF1	IGFBP1	IL6	IL6R	JUN	KCNK1	KRT19	LDH	LIPC	LPL	MIR122	MMP1	MMP10	MMP3	MYC	NFE2L2	NFKB1	NQO1	PDK4	PEG10	PPP2R4	PTEN	SDHB	SLC10A1	SLC22A1	SLC22A6	SLCO1B1	STAT3	SULT2A1	TGFA	TGFB1	THRSP	TIMP1	TNFRSF1A	TP53	UGT1A1	UGT1A6	XBP1
1	(+-)-Diclofop-methyl	51338-27-3	DTXSID0032605	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	NA	0	0	0	0	0	0	1	1	0	0	0	NA	1	NA	0	0	0	0	0	1	0	0	0	1	0	0
2	(2S,3S)-3-Methyl-2-(3-oxo-1,2-benzothiazol-2(3H)-yl)pentanoic acid	177785-47-6	DTXSID3047261	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	NA	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
3	(2Z)-3,7-Dimethylocta-2,6-dien-1-ol	106-25-2	DTXSID3026728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	1	0	1
4	(E)-Anethole	4180-23-8	DTXSID9020087	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	1	0	0	0	0	0
5	(R)-N-(Quinuclidin-3-yl)furo(2,3-C)pyridine-5-carboxamide	478149-53-0	DTXSID6047284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
6	1-(2-Chlorophenyl)-N-methyl-N-(1-methylpropyl)-3-isoquinolinecarboxamide	85532-75-8	DTXSID7041097	1	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0
7	1-(Hydroxymethyl)-5,5-dimethylhydantoin	116-25-6	DTXSID6035152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
8	1-(p-Chlorobenzoyl)-5-methoxy-2-methyl-Indole-3-acetic acid	53-86-1	DTXSID9020740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
9	1-[3-(Triethoxysilyl)propyl]urea	23779-32-0	DTXSID5044493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
10	1-Benzylquinolinium chloride	15619-48-4	DTXSID8044593	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	NA	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	NA	0	0	1	1	0	0	1	1	0	0	1	NA	1	NA	1	1	1	1	0	1	0	1	1	1	1	0
