cl_id	DTXSID	PREFERRED_NAME	DTXCID	CASRN
1	0	DTXSID3031860	Perfluorodecanoic acid	DTXCID1011860	335-76-2
2	0	DTXSID3031862	Perfluorohexanoic acid	DTXCID1011862	307-24-4
3	0	DTXSID8031863	Perfluorononanoic acid	DTXCID6011863	375-95-1
4	0	DTXSID3031864	Perfluorooctanesulfonic acid	DTXCID1011864	1763-23-1
5	0	DTXSID8031865	Perfluorooctanoic acid	DTXCID6011865	335-67-1
6	0	DTXSID1032646	N-Ethylperfluorooctanesulfonamide	DTXCID9012646	4151-50-2
7	0	DTXSID1037303	Perfluoroheptanoic acid	DTXCID9017303	375-85-9
8	0	DTXSID8037706	Potassium perfluorooctanesulfonate	DTXCID6017706	2795-39-3
9	0	DTXSID3037707	Potassium perfluorobutanesulfonate	DTXCID1017707	29420-49-3
10	0	DTXSID8037708	Ammonium perfluorooctanoate	DTXCID6017708	3825-26-1
11	0	DTXSID3037709	Potassium perfluorohexanesulfonate	DTXCID1017709	3871-99-6
12	0	DTXSID3038939	Perfluorooctanesulfonamide	DTXCID1018939	754-91-6
13	0	DTXSID8047553	Perfluoroundecanoic acid	DTXCID6027553	2058-94-8
14	1	DTXSID6020068	2-Aminoanthraquinone	DTXCID2068	117-79-3
15	1	DTXSID3020122	Azinphos-methyl	DTXCID10122	86-50-0
16	1	DTXSID7020425	Dichlone	DTXCID30425	117-80-6
17	1	DTXSID0021125	Phenolphthalein	DTXCID901125	77-09-8
18	1	-	-	DTXCID601233	-
19	1	DTXSID5021251	Saccharin	DTXCID401251	81-07-2
20	1	DTXSID0021256	Sulfasalazine	DTXCID401256	599-79-1
21	1	DTXSID0021385	Folpet	DTXCID101385	133-07-3
22	1	DTXSID3021726	Salicylamide	DTXCID501726	65-45-2
23	1	DTXSID7021992	Sodium saccharin hydrate	DTXCID401992	82385-42-0
24	1	DTXSID3022405	2-Hydroxy-4-methoxybenzophenone	DTXCID002405	131-57-7
25	1	DTXSID8022406	2,4-Dihydroxybenzophenone	DTXCID402406	131-56-6
26	1	DTXSID5022439	Phenolphthalin	DTXCID502439	81-90-3
27	1	DTXSID9022524	Thalidomide	DTXCID402524	50-35-1
28	1	DTXSID5023742	Warfarin	DTXCID703742	81-81-2
29	1	DTXSID0023901	Bentazone	DTXCID503901	25057-89-0
30	1	DTXSID8024107	Fluridone	DTXCID404107	59756-60-4
31	1	DTXSID5024261	Phosmet	DTXCID004261	732-11-6
32	1	DTXSID1026164	2-Methylaniline	DTXCID206164	95-53-4
